id,text,created_at,retweeted,in_reply_to_screen_name,in_reply_to_status_id,retweeted_screen_name,quoted_status_screen_name,source,retweet_count,screen_name,followers_count,friends_count
582965388033597441,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility ` http://t.co/5RACQTEjCI",Tue Mar 31 17:59:14 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries011</a>",0,series011,59,119
582965385605046273,RT @rivendelrh: im so thankful for #transdayofvisibility because my timeline is full of lil angels and rays of sunshine,Tue Mar 31 17:59:13 +0000 2015,False,,,umawrnkl,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,plutoalto,2546,907
582965384485187584,"RT @sandorcIeganes: it's ur fave n.b androgynous intersectional feminist!! 🌵
 #transdayofvisibility http://t.co/5nImDFRGme",Tue Mar 31 17:59:13 +0000 2015,False,,,HlDDLESTONS,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,sugarpinkolivia,445,359
582965377145143297,"We're proud to celebrate #transdayofvisibility on #taytetuesday too. #TDOV

http://t.co/lQWClCUgP1 http://t.co/V41OMzN6BP",Tue Mar 31 17:59:11 +0000 2015,False,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",4,taytestagteam,7781,6634
582965376067231744,Check out my latest blog post #transdayofvisibility: http://t.co/WtE8fykAed,Tue Mar 31 17:59:11 +0000 2015,False,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,bgmseeks,109,61
582965373689036800,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility ; http://t.co/Mn1kWIcAtZ",Tue Mar 31 17:59:10 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries011</a>",0,series011,59,119
582965373290614784,"RT @tywrent: AFAB = assigned female at birth 
AMAB = assigned male at birth 
do not say ""biologically M/F"" - that is misgendering. #transda…",Tue Mar 31 17:59:10 +0000 2015,False,,,tywrent,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,lacroixboys,465,418
582965369494720512,RT @rivendelrh: im so thankful for #transdayofvisibility because my timeline is full of lil angels and rays of sunshine,Tue Mar 31 17:59:09 +0000 2015,False,,,umawrnkl,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,kayleaving,254,1212
582965368022540288,"RT @WipeHomophobia: It’s Trans Day of Visibility today, find out more from #TDOV #TDoV2015 #transdayofvisibility @WipeTransphobia http://t.…",Tue Mar 31 17:59:09 +0000 2015,False,,,WipeHomophobia,,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",0,Kathegis,1114,852
582965365451448323,"RT @PastelLesbian: #transdayofvisibility 
Your local neighborhood nb coming to a theater near you

(They/them) http://t.co/hFoR8HdatR",Tue Mar 31 17:59:08 +0000 2015,False,,,PetiteBoii,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,hxndrxdth,1079,416
